"APPLE iPhone SE (White, 64 GB)","?32,999","(95,001)"
"APPLE iPhone SE (Black, 64 GB)","?32,999","(95,001)"
"APPLE iPhone SE (White, 128 GB)","?37,999","(95,001)"
